Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
9724,028465,Brother LC-1000M reinigingscartridge magenta,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,2.0,6.0,8.0,8718237000268,871823700026.0,8718237000268.0
9373,028471,Brother LC-1000Y inktcartridge geel (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,2.0,7.0,5.0,8718237000275,871823700027.0,8718237000275.0
9725,028475,Brother LC-1000Y reinigingscartridge geel,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,2.0,8.0,2.0,8718237000282,871823700028.0,8718237000282.0
11766,028846,Brother LC-1100BK inktcartridge zwart (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,2.0,9.0,9.0,8718237000299,871823700029.0,8718237000299.0
11776,028847,Brother LC-1100BK reinigingscartridge zwart,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,3.0,0.0,5.0,8718237000305,871823700030.0,8718237000305.0
11767,028852,Brother LC-1100C inktcartridge cyaan (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,3.0,1.0,2.0,8718237000312,871823700031.0,8718237000312.0
11777,028853,Brother LC-1100C reinigingscartridge cyaan,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,3.0,2.0,9.0,8718237000329,871823700032.0,8718237000329.0
11768,028858,Brother LC-1100M inktcartridge magenta (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,3.0,3.0,6.0,8718237000336,871823700033.0,8718237000336.0
11778,028859,Brother LC-1100M reinigingscartridge magenta,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,3.0,4.0,3.0,8718237000343,871823700034.0,8718237000343.0
11769,028864,Brother LC-1100Y inktcartridge geel (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,3.0,5.0,0.0,8718237000350,871823700035.0,8718237000350.0
11779,028865,Brother LC-1100Y reinigingscartridge geel,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,3.0,6.0,7.0,8718237000367,871823700036.0,8718237000367.0
2012,028710,Brother LC-50BK inktcartridge zwart (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,3.0,7.0,4.0,8718237000374,871823700037.0,8718237000374.0
2140,028711,Brother LC-50BK reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,3.0,8.0,1.0,8718237000381,871823700038.0,8718237000381.0
2013,028730,Brother LC-50C inktcartridge cyaan (123inkt huismerk),Compatible,cartridge,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,3.0,9.0,8.0,8718237000398,871823700039.0,8718237000398.0
2141,028731,Brother LC-50C reinigingscartridge,Compatible,cleaning,8.0,7.0,1.0,8.0,2.0,3.0,7.0,0.0,0.0,0.0,4.0,0.0,4.0,8718237000404,871823700040.0,8718237000404.0
